FID,NAME,ADDRESS,CITY,STATE,ZIP
774,SPARTAN STADIUM (MICHIGAN),STADIUM ROAD AND RED CEDAR ROAD,EAST LANSING,MI,48824
775,ALAMODOME,100 MONTANA STREET,SAN ANTONIO,TX,78203
776,KELLY/SHORTS STADIUM,WEST CAMPUS DRIVE AND UNIVERSITY PARK DRIVE,MOUNT PLEASANT,MI,48858
777,KIDD BREWER STADIUM,270 STADIUM DRIVE,BOONE,NC,28607
778,RYNEARSON STADIUM,184 WESTVIEW STREET,YPSILANTI,MI,48197
779,WALDO STADIUM,PRESS LANE,KALAMAZOO,MI,49008
780,FAUROT FIELD AT MEMORIAL STADIUM,STADIUM BOULEVARD AND MICK DEAVER MEMORIAL D,COLUMBIA,MO,65201
781,M.M. ROBERTS STADIUM,118 COLLEGE DRIVE,HATTIESBURG,MS,39406
782,DAVIS WADE STADIUM,BARR ROAD AND MOORE ROAD,STARKVILLE,MS,39759
783,VAUGHT-HEMINGWAY STADIUM,FRATERNITY ROW AND HILL DRIVE,OXFORD,MS,38677
784,CARTER-FINLEY STADIUM,4600 TRINITY ROAD,RALEIGH,NC,27607
